name,datetime,temp,feelslike,dew,humidity,cloudcover,visibility,solarradiation,icon,Voltage (V),Current (mA),Loadvoltage,Measured Power (mW)
582103,2022-05-09T09:00:00,26.1,26.1,23.1,83.57,90,6,287,partly-cloudy-day,9.24,94.3,18.64,872
582103,2022-05-09T10:00:00,28.1,31.4,23.1,74.31,90,6,416,partly-cloudy-day,9.51,107.1,20.22,1020
582103,2022-05-09T11:00:00,30.8,34.2,21.9,58.97,60.5,10,663,partly-cloudy-day,9.65,123.4,21.96,1190
582103,2022-05-09T12:00:00,31.1,35.6,23.1,62.51,50,8,908,partly-cloudy-day,9.42,114.3,20.87,1074
582103,2022-05-09T13:00:00,32.1,35.9,22.1,55.58,50,8,1018,partly-cloudy-day,9.47,121.8,21.67,1150
582103,2022-05-09T14:00:00,35.6,38.2,19.7,39.34,40.2,10,1005,partly-cloudy-day,9.44,113.3,20.77,1072
582103,2022-05-09T15:00:00,32.1,38,24.1,62.73,50,8,462,partly-cloudy-day,9.4,109.6,20.37,1028
582103,2022-05-09T16:00:00,31.1,35.6,23.1,62.51,30,8,229,partly-cloudy-day,9.22,91.5,18.35,842
582103,2022-05-09T17:00:00,32.6,36.7,22.2,54.37,88.9,10,297,partly-cloudy-day,8.76,63.9,15.14,560
582103,2022-05-09T18:00:00,28.1,31.4,23.1,74.31,30,6,199,partly-cloudy-day,8.02,15.1,9.54,122
582103,2022-05-09T19:00:00,26.1,26.1,23.1,83.57,30,6,112,partly-cloudy-night,1.77,0.6,1.83,0
582103,2022-05-09T20:00:00,27.7,30.6,22.9,75.15,90,4,3,partly-cloudy-night,0,0.7,0.07,0
582103,2022-05-09T21:00:00,27.5,29.5,21.3,68.97,100,24.1,0,cloudy,0,0,0,0
582103,2022-05-10T08:00:00,26.6,26.6,21.2,72.16,80,9.9,71,partly-cloudy-day,9.1,59.1,15.04,538
582103,2022-05-10T09:00:00,27.1,29.7,23.1,78.79,50,8,121,partly-cloudy-day,9.64,93.4,19,902
582103,2022-05-10T10:00:00,29.1,32.9,23.1,70.12,50,8,202,partly-cloudy-day,9.73,100.3,19.77,976
582103,2022-05-10T11:00:00,31.1,34,21.2,55.6,89.3,10,454,partly-cloudy-day,9.76,103.2,20.07,1006
582103,2022-05-10T12:00:00,29.1,32.9,23.1,70.12,50,8,882,partly-cloudy-day,9.64,98,19.47,944
582103,2022-05-10T13:00:00,30.1,34.3,23.1,66.19,50,8,985,partly-cloudy-day,9.65,107,20.33,1032
582103,2022-05-10T14:00:00,32.3,35.2,20.9,51.02,89.3,10,858,partly-cloudy-day,9.37,89.2,18.26,836
582103,2022-05-10T15:00:00,29.1,32.9,23.1,70.12,90,8,755,partly-cloudy-day,9.06,72.2,16.26,656
582103,2022-05-10T16:00:00,28.1,31.4,23.1,74.31,90,8,641,partly-cloudy-day,9.04,70.2,16.07,636
582103,2022-05-10T17:00:00,29.6,33.2,22.5,65.89,90.1,9.9,74,cloudy,8.61,44.1,13.02,384
582103,2022-05-11T09:00:00,26.1,26.1,22.1,78.65,90,6,140,partly-cloudy-day,9.35,80.7,17.39,754
582103,2022-05-11T10:00:00,27.1,29.3,22.1,74.15,90,6,219,partly-cloudy-day,9.2,72.4,16.42,666
582103,2022-05-11T11:00:00,26.9,28.9,21.7,73.15,99.8,9.9,485,cloudy,9.03,63.4,15.37,574
582103,2022-05-11T12:00:00,27.1,29.3,22.1,74.15,90,6,197,rain,8.72,44.3,13.18,390
582103,2022-05-11T13:00:00,27.1,29.3,22.1,74.15,50,6,162,partly-cloudy-day,8.37,27.5,11.1,230
582103,2022-05-11T14:00:00,26.2,26.2,23.1,83.4,99.8,4,141,rain,9.19,71.1,16.32,652
582103,2022-05-11T15:00:00,28.1,32.1,24.1,78.93,90,6,94,partly-cloudy-day,8.83,51,13.9,448
582103,2022-05-11T16:00:00,26.1,26.1,23.1,83.57,90,6,46,rain,8.83,43.6,13.19,384
582103,2022-05-11T17:00:00,26.1,26.1,21.7,76.62,99.8,9.9,43,cloudy,8.12,15,9.56,122
582103,2022-05-11T18:00:00,26.1,26.1,22.1,78.65,90,6,20,rain,7.57,1.6,7.7,10
582103,2022-05-11T19:00:00,25.1,25.1,22.1,83.46,90,6,8,partly-cloudy-night,1.11,0.8,1.18,0
582103,2022-05-11T20:00:00,24.7,24.7,18.9,70.16,100,24.1,0,cloudy,0.44,0.7,0.49,0
582103,2022-05-11T21:00:00,24.8,24.8,19.3,71.5,100,24.1,0,cloudy,0.25,0.8,0.33,0
582103,2022-05-11T22:00:00,24.6,24.6,19.3,72.36,100,24.1,0,cloudy,0.43,0.7,0.51,0
582103,2022-05-11T23:00:00,24.2,24.2,21.9,87.01,100,4,0,cloudy,0.57,0.7,0.63,0
582103,2022-05-12T09:00:00,25.1,25.1,22.1,83.46,90,6,24,partly-cloudy-day,9.15,67.5,15.93,616
582103,2022-05-12T10:00:00,25.1,25.1,22.1,83.46,90,6,150,partly-cloudy-day,9.5,89.6,18.48,852
582103,2022-05-12T11:00:00,27.8,30.1,21.4,67.9,99.8,10,249,cloudy,9.58,98.9,19.43,944
582103,2022-05-12T12:00:00,28.1,30.8,22.1,69.93,90,10,643,partly-cloudy-day,9.83,102.6,20.1,1010
582103,2022-05-12T13:00:00,29.1,32.1,22.1,65.99,90,10,840,partly-cloudy-day,9.99,107.3,20.68,1072
582103,2022-05-12T14:00:00,30.1,32.3,20.4,55.91,90,10,771,partly-cloudy-day,9.87,100.2,19.91,990
582103,2022-05-12T15:00:00,27.1,28.9,21.1,69.74,90,10,587,partly-cloudy-day,9.4,81.8,17.59,766
582103,2022-05-12T16:00:00,27.1,29.3,22.1,74.15,90,10,173,rain,8.58,39.1,12.49,334
582103,2022-05-12T17:00:00,28.1,30.2,20.8,64.69,90,10,324,partly-cloudy-day,9.1,66.4,15.75,602
582103,2022-05-12T18:00:00,26.1,26.1,21.1,73.98,90,6,132,partly-cloudy-day,8.56,38.3,12.38,328
582103,2022-05-12T19:00:00,25.1,25.1,21.1,78.5,50,6,32,partly-cloudy-night,7.28,0.6,7.33,4
582103,2022-05-12T20:00:00,25.9,25.9,19.6,68.24,90,4,1,partly-cloudy-night,0.43,0.7,0.51,0
